State,date,cases,dailyCases,deaths,dailyDeaths
Alabama,2020-06-23,31097,643,864,23
Alabama,2020-06-24,32064,967,891,27
Alabama,2020-06-25,33206,1142,896,5
Alabama,2020-06-26,34183,977,907,11
Alabama,2020-06-27,35083,900,919,12
Alabama,2020-06-28,35441,358,919,0
Alabama,2020-06-29,37175,1734,929,10
Alabama,2020-06-30,38045,870,950,21
Alabama,2020-07-01,38962,917,972,22
Alabama,2020-07-02,40111,1149,985,13
Alabama,2020-07-03,41865,1754,1006,21
Alabama,2020-07-04,42862,997,1007,1
Alabama,2020-07-05,43953,1091,1007,0
Alabama,2020-07-06,44878,925,1007,0
Alabama,2020-07-07,45785,907,1033,26
Alabama,2020-07-08,46962,1177,1058,25
Alabama,2020-07-09,49174,2212,1068,10
Alabama,2020-07-10,50508,1334,1104,36
Alabama,2020-07-11,51947,1439,1114,10
Alabama,2020-07-12,53587,1640,1121,7
Alabama,2020-07-13,55545,1958,1124,3
Alabama,2020-07-14,57255,1710,1164,40
Alabama,2020-07-15,59067,1812,1211,47
Alabama,2020-07-16,61088,2021,1230,19
Alabama,2020-07-17,63091,2003,1265,35
Alabama,2020-07-18,65234,2143,1286,21
Alabama,2020-07-19,67011,1777,1287,1
Alabama,2020-07-20,68891,1880,1291,4
Alabama,2020-07-21,70358,1467,1303,12
Alabama,2020-07-22,71813,1455,1364,61
Alabama,2020-07-23,74212,2399,1397,33
Alabama,2020-07-24,76005,1793,1438,41
Alaska,2020-03-12,1,0,0,0
Alaska,2020-03-13,1,0,0,0
Alaska,2020-03-14,1,0,0,0
Alaska,2020-03-15,1,0,0,0
Alaska,2020-03-16,3,2,0,0
Alaska,2020-03-17,6,3,0,0
Alaska,2020-03-18,9,3,0,0
Alaska,2020-03-19,12,3,0,0
Alaska,2020-03-20,14,2,0,0
Alaska,2020-03-21,21,7,0,0
Alaska,2020-03-22,22,1,0,0
Alaska,2020-03-23,36,14,0,0
Alaska,2020-03-24,42,6,0,0
Alaska,2020-03-25,59,17,0,0
Alaska,2020-03-26,69,10,0,0
Alaska,2020-03-27,85,16,1,1
Alaska,2020-03-28,102,17,1,0
Alaska,2020-03-29,114,12,2,1
Alaska,2020-03-30,120,6,2,0
Alaska,2020-03-31,133,13,2,0
Alaska,2020-04-01,143,10,2,0
Alaska,2020-04-02,146,3,2,0
Alaska,2020-04-03,156,10,2,0
Alaska,2020-04-04,169,13,3,1
Alaska,2020-04-05,183,14,4,1
Alaska,2020-04-06,189,6,4,0
Alaska,2020-04-07,211,22,4,0
Alaska,2020-04-08,224,13,5,1
Alaska,2020-04-09,233,9,5,0
Alaska,2020-04-10,244,11,5,0
Alaska,2020-04-11,255,11,6,1
Alaska,2020-04-12,270,15,6,0
Alaska,2020-04-13,275,5,6,0
Alaska,2020-04-14,283,8,7,1
Alaska,2020-04-15,291,8,7,0
Alaska,2020-04-16,298,7,7,0
Alaska,2020-04-17,307,9,7,0
Alaska,2020-04-18,312,5,7,0
Alaska,2020-04-19,317,5,7,0
Alaska,2020-04-20,319,2,7,0
Alaska,2020-04-21,327,8,7,0
Alaska,2020-04-22,333,6,7,0
Alaska,2020-04-23,335,2,7,0
Alaska,2020-04-24,337,2,7,0
Alaska,2020-04-25,337,0,7,0
Alaska,2020-04-26,339,2,7,0
Alaska,2020-04-27,343,4,7,0
Alaska,2020-04-28,349,6,7,0
Alaska,2020-04-29,353,4,7,0
Alaska,2020-04-30,353,0,7,0
Alaska,2020-05-01,362,9,7,0
Alaska,2020-05-02,363,1,7,0
Alaska,2020-05-03,366,3,7,0
Alaska,2020-05-04,368,2,7,0
Alaska,2020-05-05,369,1,7,0
Alaska,2020-05-06,370,1,8,1
Alaska,2020-05-07,373,3,8,0
Alaska,2020-05-08,376,3,8,0
Alaska,2020-05-09,377,1,8,0
Alaska,2020-05-10,378,1,8,0
Alaska,2020-05-11,380,2,8,0
Alaska,2020-05-12,383,3,8,0
Alaska,2020-05-13,383,0,8,0
Alaska,2020-05-14,387,4,8,0
Alaska,2020-05-15,388,1,8,0
Alaska,2020-05-16,392,4,8,0
Alaska,2020-05-17,396,4,8,0
Alaska,2020-05-18,399,3,8,0
Alaska,2020-05-19,399,0,8,0
Alaska,2020-05-20,402,3,8,0
Alaska,2020-05-21,402,0,8,0
Alaska,2020-05-22,404,2,8,0
Alaska,2020-05-23,409,5,8,0
Alaska,2020-05-24,409,0,8,0
Alaska,2020-05-25,412,3,8,0
Alaska,2020-05-26,416,4,8,0
Alaska,2020-05-27,417,1,8,0
Alaska,2020-05-28,430,13,8,0
Alaska,2020-05-29,436,6,8,0
Alaska,2020-05-30,441,5,8,0
Alaska,2020-05-31,469,28,8,0
Alaska,2020-06-01,476,7,8,0
Alaska,2020-06-02,497,21,8,0
Alaska,2020-06-03,516,19,8,0
Alaska,2020-06-04,542,26,8,0
Alaska,2020-06-05,565,23,8,0
Alaska,2020-06-06,579,14,8,0
Alaska,2020-06-07,588,9,8,0
Alaska,2020-06-08,607,19,8,0
Alaska,2020-06-09,620,13,9,1
Alaska,2020-06-10,642,22,9,0
Alaska,2020-06-11,666,24,9,0
Alaska,2020-06-12,688,22,10,1
Alaska,2020-06-13,722,34,10,0
Alaska,2020-06-14,734,12,10,0
Alaska,2020-06-15,738,4,10,0
Alaska,2020-06-16,751,13,10,0
Alaska,2020-06-17,776,25,10,0
Alaska,2020-06-18,795,19,10,0
Alaska,2020-06-19,821,26,10,0
Alaska,2020-06-20,845,24,10,0
Alaska,2020-06-21,859,14,10,0
Alaska,2020-06-22,869,10,10,0
Alaska,2020-06-23,905,36,10,0
Alaska,2020-06-24,926,21,10,0
Alaska,2020-06-25,971,45,10,0
Alaska,2020-06-26,1001,30,12,2
Alaska,2020-06-27,1027,26,12,0
Alaska,2020-06-28,1060,33,12,0
Alaska,2020-06-29,1085,25,12,0
Alaska,2020-06-30,1132,47,12,0
Alaska,2020-07-01,1174,42,12,0
Alaska,2020-07-02,1224,50,12,0
Alaska,2020-07-03,1284,60,13,1
Alaska,2020-07-04,1339,55,14,1
Alaska,2020-07-05,1371,32,14,0
Alaska,2020-07-06,1401,30,14,0
Alaska,2020-07-07,1423,22,15,1
Alaska,2020-07-08,1472,49,15,0
Alaska,2020-07-09,1521,49,15,0
Alaska,2020-07-10,1579,58,15,0
Alaska,2020-07-11,1656,77,15,0
Alaska,2020-07-12,1772,116,15,0
Alaska,2020-07-13,1843,71,15,0
Alaska,2020-07-14,1897,54,15,0
Alaska,2020-07-15,1958,61,15,0
Alaska,2020-07-16,2034,76,15,0
Alaska,2020-07-17,2083,49,15,0
Alaska,2020-07-18,2157,74,16,1
Alaska,2020-07-19,2275,118,16,0
Alaska,2020-07-20,2412,137,16,0
Alaska,2020-07-21,2523,111,16,0
Alaska,2020-07-22,2617,94,17,1
Alaska,2020-07-23,2682,65,17,0
Alaska,2020-07-24,2746,64,17,0
Arizona,2020-01-26,1,0,0,0
Arizona,2020-01-27,1,0,0,0
Arizona,2020-01-28,1,0,0,0
Arizona,2020-01-29,1,0,0,0
Arizona,2020-01-30,1,0,0,0
Arizona,2020-01-31,1,0,0,0
Arizona,2020-02-01,1,0,0,0
Arizona,2020-02-02,1,0,0,0
Arizona,2020-02-03,1,0,0,0
Arizona,2020-02-04,1,0,0,0
Arizona,2020-02-05,1,0,0,0
Arizona,2020-02-06,1,0,0,0
Arizona,2020-02-07,1,0,0,0
Arizona,2020-02-08,1,0,0,0
Arizona,2020-02-09,1,0,0,0
Arizona,2020-02-10,1,0,0,0
Arizona,2020-02-11,1,0,0,0
Arizona,2020-02-12,1,0,0,0
Arizona,2020-02-13,1,0,0,0
Arizona,2020-02-14,1,0,0,0
Arizona,2020-02-15,1,0,0,0
Arizona,2020-02-16,1,0,0,0
Arizona,2020-02-17,1,0,0,0
Arizona,2020-02-18,1,0,0,0
Arizona,2020-02-19,1,0,0,0
Arizona,2020-02-20,1,0,0,0
Arizona,2020-02-21,1,0,0,0
Arizona,2020-02-22,1,0,0,0
Arizona,2020-02-23,1,0,0,0
Arizona,2020-02-24,1,0,0,0
Arizona,2020-02-25,1,0,0,0
Arizona,2020-02-26,1,0,0,0
Arizona,2020-02-27,1,0,0,0
Arizona,2020-02-28,1,0,0,0
Arizona,2020-02-29,1,0,0,0
Arizona,2020-03-01,1,0,0,0
Arizona,2020-03-02,1,0,0,0
Arizona,2020-03-03,2,1,0,0
Arizona,2020-03-04,2,0,0,0
Arizona,2020-03-05,2,0,0,0
Arizona,2020-03-06,3,1,0,0
Arizona,2020-03-07,5,2,0,0
Arizona,2020-03-08,5,0,0,0
Arizona,2020-03-09,6,1,0,0
Arizona,2020-03-10,6,0,0,0
Arizona,2020-03-11,9,3,0,0
Arizona,2020-03-12,9,0,0,0
Arizona,2020-03-13,9,0,0,0
Arizona,2020-03-14,12,3,0,0
Arizona,2020-03-15,13,1,0,0
Arizona,2020-03-16,18,5,0,0
Arizona,2020-03-17,20,2,0,0
Arizona,2020-03-18,28,8,0,0
Arizona,2020-03-19,47,19,0,0
Arizona,2020-03-20,70,23,1,1
Arizona,2020-03-21,104,34,1,0
Arizona,2020-03-22,153,49,2,1
Arizona,2020-03-23,234,81,2,0
Arizona,2020-03-24,326,92,6,4
Arizona,2020-03-25,402,76,6,0
Arizona,2020-03-26,508,106,8,2
Arizona,2020-03-27,665,157,15,7
Arizona,2020-03-28,773,108,15,0
Arizona,2020-03-29,930,157,18,3
Arizona,2020-03-30,1169,239,20,2
Arizona,2020-03-31,1298,129,24,4
Arizona,2020-04-01,1413,115,29,5
Arizona,2020-04-02,1600,187,35,6
Arizona,2020-04-03,1769,169,41,6
Arizona,2020-04-04,2019,250,53,12
Arizona,2020-04-05,2269,250,64,11
Arizona,2020-04-06,2466,197,67,3
Arizona,2020-04-07,2577,111,77,10
Arizona,2020-04-08,2726,149,80,3
Arizona,2020-04-09,3018,292,89,9
Arizona,2020-04-10,3112,94,97,8
Arizona,2020-04-11,3393,281,112,15
Arizona,2020-04-12,3539,146,117,5
Arizona,2020-04-13,3702,163,122,5
Arizona,2020-04-14,3806,104,131,9
Arizona,2020-04-15,3962,156,142,11
Arizona,2020-04-16,4234,272,152,10
Arizona,2020-04-17,4507,273,174,22
Arizona,2020-04-18,4719,212,181,7
Arizona,2020-04-19,4929,210,188,7
Arizona,2020-04-20,5064,135,191,3
Arizona,2020-04-21,5251,187,213,22
Arizona,2020-04-22,5459,208,236,23
Arizona,2020-04-23,5769,310,257,21
Arizona,2020-04-24,6045,276,268,11
Arizona,2020-04-25,6280,235,275,7
Arizona,2020-04-26,6526,246,277,2
Arizona,2020-04-27,6716,190,277,0
Arizona,2020-04-28,6948,232,297,20
Arizona,2020-04-29,7202,254,308,11
Arizona,2020-04-30,7648,446,320,12
Arizona,2020-05-01,7962,314,330,10
Arizona,2020-05-02,8364,402,353,23
Arizona,2020-05-03,8640,276,362,9
Arizona,2020-05-04,8919,279,362,0
Arizona,2020-05-05,9305,386,395,33
Arizona,2020-05-06,9707,402,426,31
Arizona,2020-05-07,9945,238,450,24
Arizona,2020-05-08,10526,581,517,67
Arizona,2020-05-09,10960,434,532,15
Arizona,2020-05-10,11119,159,536,4
Arizona,2020-05-11,11380,261,542,6
Arizona,2020-05-12,11736,356,562,20
Arizona,2020-05-13,12176,440,594,32
Arizona,2020-05-14,12674,498,624,30
Arizona,2020-05-15,13169,495,651,27
Arizona,2020-05-16,13631,462,679,28
Arizona,2020-05-17,13937,306,680,1
Arizona,2020-05-18,14170,233,686,6
Arizona,2020-05-19,14566,396,704,18
Arizona,2020-05-20,14897,331,747,43
Arizona,2020-05-21,15315,418,763,16
Arizona,2020-05-22,15608,293,775,12
Arizona,2020-05-23,16040,432,799,24
Arizona,2020-05-24,16339,299,800,1
Arizona,2020-05-25,16561,222,806,6
Arizona,2020-05-26,16783,222,807,1
Arizona,2020-05-27,17262,479,831,24
Arizona,2020-05-28,17763,501,857,26
Arizona,2020-05-29,18465,702,885,28
Arizona,2020-05-30,19255,790,903,18
Arizona,2020-05-31,19936,681,906,3
Arizona,2020-06-01,20123,187,918,12
Arizona,2020-06-02,21250,1127,943,25
Arizona,2020-06-03,22245,995,983,40
Arizona,2020-06-04,22818,573,1000,17
Arizona,2020-06-05,24369,1551,1016,16
Arizona,2020-06-06,25517,1148,1046,30
Arizona,2020-06-07,26924,1407,1048,2
Arizona,2020-06-08,27761,837,1052,4
Arizona,2020-06-09,28396,635,1074,22
Arizona,2020-06-10,29981,1585,1100,26
Arizona,2020-06-11,31525,1544,1130,30
Arizona,2020-06-12,33167,1642,1157,27
Arizona,2020-06-13,34773,1606,1190,33
Arizona,2020-06-14,35953,1180,1194,4
Arizona,2020-06-15,37005,1052,1204,10
Arizona,2020-06-16,39298,2293,1228,24
Arizona,2020-06-17,41159,1861,1252,24
Arizona,2020-06-18,43731,2572,1287,35
Arizona,2020-06-19,46914,3183,1322,35
Arizona,2020-06-20,50198,3284,1347,25
Arizona,2020-06-21,52666,2468,1350,3
Arizona,2020-06-22,54767,2101,1354,4
Arizona,2020-06-23,58397,3630,1398,44
Arizona,2020-06-24,60207,1810,1467,69
Arizona,2020-06-25,63297,3090,1495,28
Arizona,2020-06-26,66676,3379,1537,42
Arizona,2020-06-27,70152,3476,1581,44
Arizona,2020-06-28,73961,3809,1594,13
Arizona,2020-06-29,74602,641,1598,4
Arizona,2020-06-30,79399,4797,1645,47
Arizona,2020-07-01,84152,4753,1726,81
Arizona,2020-07-02,87495,3343,1766,40
Arizona,2020-07-03,91894,4399,1802,36
Arizona,2020-07-04,94616,2722,1821,19
Arizona,2020-07-05,98126,3510,1829,8
Arizona,2020-07-06,101542,3416,1832,3
Arizona,2020-07-07,105159,3617,1933,101
Arizona,2020-07-08,108710,3551,1973,40
Arizona,2020-07-09,112783,4073,2047,74
Arizona,2020-07-10,116947,4164,2093,46
Arizona,2020-07-11,119991,3044,2158,65
Arizona,2020-07-12,122479,2488,2239,81
Arizona,2020-07-13,123917,1438,2250,11
Arizona,2020-07-14,128126,4209,2341,91
Arizona,2020-07-15,131411,3285,2442,101
Arizona,2020-07-16,134730,3319,2506,64
Arizona,2020-07-17,138575,3845,2597,91
Arizona,2020-07-18,141333,2758,2733,136
Arizona,2020-07-19,143644,2311,2768,35
Arizona,2020-07-20,145320,1676,2795,27
Arizona,2020-07-21,148730,3410,2918,123
Arizona,2020-07-22,150659,1929,2976,58
Arizona,2020-07-23,153029,2370,3067,91
Arizona,2020-07-24,156392,3363,3156,89
Arkansas,2020-03-11,1,0,0,0
Arkansas,2020-03-12,6,5,0,0
Arkansas,2020-03-13,7,1,0,0
Arkansas,2020-03-14,9,2,0,0
Arkansas,2020-03-15,16,7,0,0
Arkansas,2020-03-16,22,6,0,0
Arkansas,2020-03-17,22,0,0,0
Arkansas,2020-03-18,33,11,0,0
Arkansas,2020-03-19,62,29,0,0
Arkansas,2020-03-20,100,38,0,0
Arkansas,2020-03-21,118,18,0,0
Arkansas,2020-03-22,165,47,0,0
Arkansas,2020-03-23,201,36,0,0
Arkansas,2020-03-24,231,30,2,2
Arkansas,2020-03-25,307,76,2,0
Arkansas,2020-03-26,350,43,3,1
Arkansas,2020-03-27,385,35,3,0
Arkansas,2020-03-28,409,24,5,2
Arkansas,2020-03-29,449,40,6,1
Arkansas,2020-03-30,508,59,7,1
Arkansas,2020-03-31,564,56,8,1
Arkansas,2020-04-01,624,60,10,2
Arkansas,2020-04-02,683,59,12,2
Arkansas,2020-04-03,738,55,12,0
Arkansas,2020-04-04,743,5,14,2
Arkansas,2020-04-05,853,110,16,2
Arkansas,2020-04-06,927,74,16,0
Arkansas,2020-04-07,997,70,18,2
Arkansas,2020-04-08,1077,80,18,0
Arkansas,2020-04-09,1146,69,21,3
Arkansas,2020-04-10,1202,56,24,3
Arkansas,2020-04-11,1228,26,25,1
Arkansas,2020-04-12,1280,52,27,2
Arkansas,2020-04-13,1475,195,30,3
Arkansas,2020-04-14,1498,23,32,2
Arkansas,2020-04-15,1599,101,34,2
Arkansas,2020-04-16,1620,21,37,3
Arkansas,2020-04-17,1695,75,37,0
Arkansas,2020-04-18,1777,82,38,1
Arkansas,2020-04-19,1781,4,39,1
Arkansas,2020-04-20,1971,190,42,3
Arkansas,2020-04-21,2262,291,43,1
Arkansas,2020-04-22,2392,130,44,1
Arkansas,2020-04-23,2599,207,45,1
Arkansas,2020-04-24,2810,211,47,2
Arkansas,2020-04-25,2909,99,48,1
Arkansas,2020-04-26,3001,92,50,2
Arkansas,2020-04-27,3069,68,51,1
Arkansas,2020-04-28,3127,58,57,6
Arkansas,2020-04-29,3207,80,59,2
Arkansas,2020-04-30,3281,74,61,2
Arkansas,2020-05-01,3310,29,64,3
Arkansas,2020-05-02,3372,62,72,8
Arkansas,2020-05-03,3431,59,76,4
Arkansas,2020-05-04,3469,38,80,4
Arkansas,2020-05-05,3525,56,83,3
Arkansas,2020-05-06,3611,86,87,4
Arkansas,2020-05-07,3694,83,88,1
Arkansas,2020-05-08,3747,53,88,0
Arkansas,2020-05-09,3747,0,88,0
Arkansas,2020-05-10,4012,265,91,3
Arkansas,2020-05-11,4043,31,94,3
Arkansas,2020-05-12,4164,121,95,1
Arkansas,2020-05-13,4236,72,97,2
Arkansas,2020-05-14,4366,130,98,1
Arkansas,2020-05-15,4463,97,98,0
Arkansas,2020-05-16,4578,115,98,0
Arkansas,2020-05-17,4759,181,98,0
Arkansas,2020-05-18,4813,54,100,2
Arkansas,2020-05-19,4923,110,102,2
Arkansas,2020-05-20,5003,80,107,5
Arkansas,2020-05-21,5458,455,110,3
Arkansas,2020-05-22,5612,154,113,3
Arkansas,2020-05-23,5775,163,115,2
Arkansas,2020-05-24,5922,147,116,1
Arkansas,2020-05-25,6029,107,117,1
Arkansas,2020-05-26,6180,151,119,2
Arkansas,2020-05-27,6277,97,120,1
Arkansas,2020-05-28,6538,261,125,5
Arkansas,2020-05-29,6777,239,132,7
Arkansas,2020-05-30,7013,236,133,1
Arkansas,2020-05-31,7253,240,133,0
Arkansas,2020-06-01,7443,190,133,0
Arkansas,2020-06-02,7818,375,136,3
Arkansas,2020-06-03,8067,249,142,6
Arkansas,2020-06-04,8425,358,151,9
Arkansas,2020-06-05,8651,226,152,1
Arkansas,2020-06-06,9101,450,154,2
Arkansas,2020-06-07,9426,325,154,0
Arkansas,2020-06-08,9740,314,155,1
Arkansas,2020-06-09,10080,340,161,6
Arkansas,2020-06-10,10368,288,165,4
Arkansas,2020-06-11,10816,448,171,6
Arkansas,2020-06-12,11547,731,176,5
Arkansas,2020-06-13,12095,548,177,1
Arkansas,2020-06-14,12501,406,179,2
Arkansas,2020-06-15,12917,416,182,3
Arkansas,2020-06-16,13191,274,188,6
Arkansas,2020-06-17,13606,415,197,9
Arkansas,2020-06-18,13928,322,208,11
Arkansas,2020-06-19,14631,703,214,6
Arkansas,2020-06-20,15142,511,224,10
Arkansas,2020-06-21,15561,419,225,1
Arkansas,2020-06-22,16083,522,227,2
Arkansas,2020-06-23,16678,595,237,10
Arkansas,2020-06-24,17375,697,240,3
Arkansas,2020-06-25,18062,687,240,0
Arkansas,2020-06-26,18740,678,249,9
Arkansas,2020-06-27,19310,570,259,10
Arkansas,2020-06-28,19818,508,264,5
Arkansas,2020-06-29,20257,439,265,1
Arkansas,2020-06-30,20777,520,270,5
Arkansas,2020-07-01,21197,420,277,7
Arkansas,2020-07-02,22075,878,279,2
Arkansas,2020-07-03,22622,547,281,2
Arkansas,2020-07-04,23209,587,286,5
Arkansas,2020-07-05,23814,605,287,1
Arkansas,2020-07-06,24253,439,292,5
Arkansas,2020-07-07,24512,259,301,9
Arkansas,2020-07-08,25246,734,305,4
Arkansas,2020-07-09,26052,806,309,4
Arkansas,2020-07-10,26803,751,313,4
Arkansas,2020-07-11,27864,1061,319,6
Arkansas,2020-07-12,28367,503,321,2
Arkansas,2020-07-13,28939,572,323,2
Arkansas,2020-07-14,29733,794,331,8
Arkansas,2020-07-15,30297,564,335,4
Arkansas,2020-07-16,31114,817,341,6
Arkansas,2020-07-17,31762,648,353,12
Arkansas,2020-07-18,32533,771,357,4
Arkansas,2020-07-19,33228,695,357,0
Arkansas,2020-07-20,33927,699,363,6
Arkansas,2020-07-21,34655,728,374,11
Arkansas,2020-07-22,35246,591,380,6
Arkansas,2020-07-23,36259,1013,386,6
Arkansas,2020-07-24,37249,990,394,8
California,2020-01-25,1,0,0,0
California,2020-01-26,2,1,0,0
California,2020-01-27,2,0,0,0
California,2020-01-28,2,0,0,0
California,2020-01-29,2,0,0,0
California,2020-01-30,2,0,0,0
California,2020-01-31,3,1,0,0
California,2020-02-01,3,0,0,0
California,2020-02-02,6,3,0,0
California,2020-02-03,6,0,0,0
California,2020-02-04,6,0,0,0
California,2020-02-05,6,0,0,0
California,2020-02-06,6,0,0,0
California,2020-02-07,6,0,0,0
California,2020-02-08,6,0,0,0
California,2020-02-09,6,0,0,0
California,2020-02-10,7,1,0,0
California,2020-02-11,7,0,0,0
California,2020-02-12,7,0,0,0
California,2020-02-13,7,0,0,0
California,2020-02-14,7,0,0,0
California,2020-02-15,7,0,0,0
California,2020-02-16,7,0,0,0
California,2020-02-17,7,0,0,0
California,2020-02-18,7,0,0,0
California,2020-02-19,7,0,0,0
California,2020-02-20,8,1,0,0
California,2020-02-21,9,1,0,0
California,2020-02-22,9,0,0,0
California,2020-02-23,9,0,0,0
California,2020-02-24,11,2,0,0
California,2020-02-25,11,0,0,0
California,2020-02-26,26,15,0,0
California,2020-02-27,26,0,0,0
California,2020-02-28,27,1,0,0
California,2020-02-29,28,1,0,0
California,2020-03-01,33,5,0,0
California,2020-03-02,38,5,0,0
California,2020-03-03,45,7,0,0
California,2020-03-04,55,10,1,1
California,2020-03-05,67,12,1,0
California,2020-03-06,81,14,1,0
California,2020-03-07,100,19,1,0
California,2020-03-08,112,12,1,0
California,2020-03-09,172,60,2,1
California,2020-03-10,179,7,3,1
California,2020-03-11,202,23,4,1
California,2020-03-12,252,50,4,0
California,2020-03-13,320,68,5,1
California,2020-03-14,381,61,5,0
California,2020-03-15,478,97,6,1
California,2020-03-16,588,110,11,5
California,2020-03-17,732,144,14,3
California,2020-03-18,893,161,17,3
California,2020-03-19,1067,174,19,2
California,2020-03-20,1283,216,24,5
California,2020-03-21,1544,261,28,4
California,2020-03-22,1851,307,35,7
California,2020-03-23,2240,389,39,4
California,2020-03-24,2644,404,52,13
California,2020-03-25,3183,539,68,16
California,2020-03-26,4060,877,83,15
California,2020-03-27,4915,855,104,21
California,2020-03-28,5566,651,122,18
California,2020-03-29,6321,755,132,10
California,2020-03-30,7421,1100,147,15
California,2020-03-31,8583,1162,184,37
California,2020-04-01,9857,1274,212,28
California,2020-04-02,11190,1333,247,35
California,2020-04-03,12569,1379,282,35
California,2020-04-04,13796,1227,323,41
California,2020-04-05,15202,1406,351,28
California,2020-04-06,16361,1159,386,35
California,2020-04-07,17540,1179,447,61
California,2020-04-08,19043,1503,506,59
California,2020-04-09,20191,1148,548,42
California,2020-04-10,21366,1175,594,46
California,2020-04-11,22421,1055,632,38
California,2020-04-12,23323,902,676,44
California,2020-04-13,24334,1011,725,49
California,2020-04-14,25758,1424,778,53
California,2020-04-15,27107,1349,885,107
California,2020-04-16,28142,1035,971,86
California,2020-04-17,29398,1256,1050,79
California,2020-04-18,30829,1431,1146,96
California,2020-04-19,31544,715,1176,30
California,2020-04-20,33862,2318,1223,47
California,2020-04-21,35844,1982,1316,93
California,2020-04-22,37573,1729,1425,109
